,country,area(Km^2)
0,Russia,17098242.0
1,France,643801.0
2,Ukraine,603550.0
3,Spain,505370.0
4,Sweden,450295.0
5,Germany,357022.0
6,Finland,338145.0
7,Norway,323802.0
8,Poland,312685.0
9,Italy,301340.0
10,United Kingdom,243610.0
11,Romania,238391.0
12,Belarus,207600.0
13,Greece,131957.0
14,Bulgaria,110879.0
15,Iceland,103000.0
16,Hungary,93028.0
17,Portugal,92090.0
18,Austria,83871.0
19,Czechia,78867.0
20,Serbia,77474.0
21,Ireland,70273.0
22,Lithuania,65300.0
23,Latvia,64589.0
24,Svalbard,62045.0
25,Croatia,56594.0
26,Bosnia and Herzegovina,51197.0
27,Slovakia,49035.0
28,Estonia,45228.0
29,Denmark,43094.0
30,Netherlands,41543.0
31,Switzerland,41277.0
32,Moldova,33851.0
33,Belgium,30528.0
34,Albania,28748.0
35,North Macedonia,25713.0
36,Slovenia,20273.0
37,Montenegro,13812.0
38,Kosovo,10887.0
39,Luxembourg,2586.0
40,Faroe Islands,1393.0
41,Isle of Man,572.0
42,Andorra,468.0
43,Jan Mayen,377.0
44,Malta,316.0
45,Liechtenstein,160.0
46,Dhekelia,130.8
47,Akrotiri,123.0
48,Jersey,116.0
49,Guernsey,78.0
50,San Marino,61.0
51,Bouvet Island,49.0
52,Gibraltar,6.5
53,Monaco,2.0
54,Holy See (Vatican City),0.44
